proximityRef;timestamp;proximity;rssi;accuracy
3.0;15:06:54;2;-70;1.81269066405683
3.0;15:06:55;2;-69;1.7944274937176
3.0;15:06:56;2;-69;1.77923132813554
3.0;15:06:57;2;-70;1.791259257934
3.0;15:06:58;2;-71;1.82396608996639
3.0;15:06:59;2;-70;1.83117027528814
3.0;15:07:00;2;-70;1.83754822486026
3.0;15:07:01;2;-70;1.84322058871102
3.0;15:07:02;2;-71;1.8699354630301
3.0;15:07:03;2;-71;1.89437192342673
3.0;15:07:04;2;-71;1.93161028899554
3.0;15:07:05;2;-71;1.9724499947535
3.0;15:07:06;2;-75;2.19389449612527
4.0;15:08:02;3;-75;3.70022800948463
4.0;15:08:03;3;-76;3.74289188368391
4.0;15:08:04;3;-78;3.86850790690904
4.0;15:08:05;3;-80;4.05099106773208
4.0;15:08:06;3;-79;4.18383330804482
4.0;15:08:07;3;-78;4.2655789364196
4.0;15:08:08;3;-80;4.41106816946321
4.0;15:08:09;3;-80;4.54634395101287
4.0;15:08:10;3;-80;4.67240182528986
4.0;15:08:11;3;-81;4.82192511697698
4.0;15:08:12;3;-82;4.99262887928935
4.0;15:08:13;3;-83;5.18292443735063
4.0;15:08:14;3;-83;5.36708077997833
4.0;15:08:15;3;-81;5.48376408030426
4.0;15:08:16;3;-82;5.6271696730518
4.0;15:08:17;3;-81;5.73061995313599
4.0;15:08:18;3;-79;5.74699249494869
4.0;15:08:19;3;-80;5.80457772766133
4.0;15:08:20;3;-78;5.75522749844078
4.0;15:08:21;3;-78;5.70127111324203
4.0;15:08:22;3;-78;5.64711631389962
4.0;15:08:23;3;-77;5.49231041810967
4.0;15:08:24;3;-77;5.36448480854423
4.0;15:08:25;3;-77;5.26257711634077
4.0;15:08:26;3;-76;5.09157757698251
4.0;15:08:27;3;-77;5.03882863816116
4.0;15:08:28;3;-76;4.92343642178966
4.0;15:08:29;3;-76;4.83008190684224
4.0;15:08:30;3;-75;4.68660615643823
4.0;15:08:31;3;-75;4.56871568378201
4.0;15:08:32;3;-75;4.46993392912003
4.0;15:08:33;3;-75;4.38582633049656
4.0;15:08:34;3;-75;4.31328789014529
4.0;15:08:35;3;-75;4.2499657886977
4.0;15:08:36;3;-75;4.19420105272881
4.0;15:08:37;3;-75;4.14470023232688
4.0;15:08:38;3;-75;4.10046083853267
4.0;15:08:39;3;-74;4.01766137342989
4.0;15:08:40;3;-75;3.98534921202829
4.0;15:08:41;3;-75;3.95597591550379
4.0;15:08:42;3;-75;3.92918327551843
4.0;15:08:43;3;-75;3.90467222579004
4.0;15:08:44;3;-75;3.88219131921158
4.0;15:08:45;3;-79;3.97562636478519
4.0;15:08:46;3;-75;3.94779905824374
4.0;15:08:47;3;-74;3.88399994437025
4.0;15:08:48;3;-74;3.82638661018438
4.0;15:08:49;3;-74;3.77415599095591
4.0;15:08:50;3;-73;3.68757334291781
4.0;15:08:51;3;-73;3.61012240069652
4.0;15:08:52;3;-73;3.54048067441442
4.0;15:08:53;3;-73;3.47761821258675
4.0;15:08:54;3;-74;3.45466152732997
4.0;15:08:55;3;-74;3.43342783241227
4.0;15:08:56;3;-74;3.41376629801339
4.0;15:08:57;3;-74;3.39555981002104
4.0;15:08:58;3;-74;3.37869807280063
4.0;15:08:59;3;-74;3.3630701030626
4.0;15:09:00;3;-75;3.37784443588997
4.0;15:09:01;3;-75;3.39176326481415
5.0;15:10:24;2;-72;2.52508052784206
5.0;15:10:25;2;-72;2.51160990502959
5.0;15:10:26;2;-72;2.50172690227152
5.0;15:10:27;2;-73;2.54869903050559
5.0;15:10:28;2;-73;2.59245208002131
5.0;15:10:29;2;-75;2.75483972169625
5.0;15:10:30;2;-75;2.90093593440903
5.0;15:10:31;3;-76;3.08077334050207
5.0;15:10:32;3;-73;3.02185537544905
5.0;15:10:33;2;-72;2.91069194776847
5.0;15:10:34;2;-72;2.83254108607046
5.0;15:10:35;2;-73;2.82582920395497
5.0;15:10:36;2;-71;2.68956303443766
5.0;15:10:37;2;-71;2.57113072521431
5.0;15:10:38;2;-72;2.54533524954075
5.0;15:10:39;2;-72;2.52406960190713
5.0;15:10:40;2;-71;2.43209201511915
5.0;15:10:41;2;-71;2.36319040663901
5.0;15:10:42;2;-73;2.44837610710088
5.0;15:10:43;2;-75;2.64400258133734
5.0;15:10:44;3;-73;2.67457663639129
5.0;15:10:45;3;-73;2.69845454681589
5.0;15:10:46;3;-74;2.79118852037617
5.0;15:10:47;3;-73;2.78924860280117
5.0;15:10:48;3;-74;2.86460824954945
5.0;15:10:49;3;-74;2.92551546195443
5.0;15:10:50;3;-74;2.9743933810508
5.0;15:10:51;3;-75;3.09036080622576
5.0;15:10:52;3;-75;3.18646192812404
5.0;15:10:53;3;-75;3.26519247647946
5.0;15:10:54;3;-78;3.54957169959325
5.0;15:10:55;3;-76;3.64800349973124
5.0;15:10:56;3;-77;3.81339199695888
5.0;15:10:57;3;-77;3.95380802167183
5.0;15:10:58;3;-75;3.87779820967099
5.0;15:10:59;3;-73;3.61807150179558
5.0;15:11:00;3;-75;3.61349961965791
5.0;15:11:01;3;-75;3.60972507570942
5.0;15:11:02;3;-76;3.6925852810412
5.0;15:11:03;3;-77;3.84478827174342
5.0;15:11:04;3;-78;4.0434050689592
5.0;15:11:05;3;-78;4.20507710092059
5.0;15:11:06;3;-77;4.26453061081384
5.0;15:11:07;3;-74;4.07518970637449
5.0;15:11:08;3;-78;4.1904691189588
5.0;15:11:09;3;-79;4.33555179855306
5.0;15:11:10;3;-76;4.30815656083555
5.0;15:11:11;3;-78;4.38610364391398
5.0;15:11:12;3;-78;4.45495028065476
5.0;15:11:13;3;-77;4.47064367294568
5.0;15:11:14;3;-78;4.52836351015624
5.0;15:11:15;3;-78;4.59913859144713
5.0;15:11:16;3;-77;4.60453641515832
5.0;15:11:17;3;-76;4.52243324665269
5.0;15:11:18;3;-76;4.44920820420471
5.0;15:11:19;3;-76;4.38598335369942
5.0;15:11:20;3;-75;4.22955701745487
5.0;15:11:21;3;-75;4.10397781423348
5.0;15:11:22;3;-75;4.00322244320853
5.0;15:11:23;3;-75;3.92750289572351
6.0;15:12:25;3;-84;9.07213094438385
6.0;15:12:26;3;-82;9.04004098370994
6.0;15:12:27;3;-81;8.88204734571824
6.0;15:12:28;3;-80;8.62497457929379
6.0;15:12:29;3;-80;8.42102445375803
6.0;15:12:30;3;-78;8.01380730565175
6.0;15:12:31;3;-74;6.97861533104715
6.0;15:12:32;3;-80;6.96024043382399
6.0;15:12:33;3;-81;7.04418180330818
6.0;15:12:34;3;-81;7.12435456457163
6.0;15:12:35;3;-81;7.19480325875614
6.0;15:12:36;3;-81;7.25449376271309
6.0;15:12:37;3;-82;7.39532462267813
6.0;15:12:38;3;-81;7.42880113168914
6.0;15:12:39;3;-81;7.45698032462072
6.0;15:12:40;3;-77;7.0822244400316
6.0;15:12:41;3;-73;6.28297455930746
6.0;15:12:42;3;-73;5.71882470763366
6.0;15:12:43;3;-74;5.39042428292428
6.0;15:12:44;3;-80;5.47371202774193
6.0;15:12:45;3;-80;5.55084900665768
6.0;15:12:46;3;-79;5.57926639149555
6.0;15:12:47;3;-79;5.60532913776878
6.0;15:12:48;3;-80;5.67127165700201
6.0;15:12:49;3;-79;5.69826181037607
6.0;15:12:50;3;-80;5.79894874507346
6.0;15:12:51;3;-80;5.90436061381673
6.0;15:12:52;3;-80;6.0086330952095
6.0;15:12:53;3;-81;6.19908288244063
6.0;15:12:54;3;-74;5.49328936722717
6.0;15:12:55;3;-79;5.55229701417664
6.0;15:12:56;3;-74;5.09691972311794
6.0;15:12:57;3;-73;4.59151814797539
6.0;15:12:58;3;-74;4.30793332793685
6.0;15:12:59;3;-73;3.96656336825311
6.0;15:13:00;3;-73;3.70270872883444
6.0;15:13:01;3;-74;3.59412875067542
6.0;15:13:02;3;-74;3.51210218084826
6.0;15:13:03;3;-75;3.52486157090708
6.0;15:13:04;3;-75;3.53472574906319
6.0;15:13:05;3;-74;3.48057099243579
6.0;15:13:06;3;-73;3.37837615552361
6.0;15:13:07;3;-73;3.29944273465139
6.0;15:13:08;3;-71;3.12541667977695
6.0;15:13:09;3;-71;2.99140945640323
6.0;15:13:10;3;-71;2.88472607930824
6.0;15:13:11;3;-72;2.83820674389347
6.0;15:13:12;3;-73;2.83314355770184
6.0;15:13:13;3;-74;2.85909865621452
6.0;15:13:14;3;-75;2.90988653389373
6.0;15:13:15;3;-75;2.95700754552707
6.0;15:13:16;3;-73;2.9418334844731
6.0;15:13:17;3;-73;2.92824460130509
6.0;15:13:18;3;-78;3.09804736795313
6.0;15:13:19;3;-78;3.30560729867612
6.0;15:13:20;3;-79;3.5794354425522
6.0;15:13:21;3;-79;3.85925296472967
6.0;15:13:22;3;-79;4.12974760519833
6.0;15:13:23;3;-79;4.38084560818655
6.0;15:13:24;3;-79;4.60831005312246
7.0;15:14:16;3;-74;4.10331923623151
7.0;15:14:17;3;-74;3.90788042675677
7.0;15:14:18;3;-92;4.61818517156161
7.0;15:14:21;3;-91;5.41062747116947
7.0;15:14:22;3;-75;4.78043996212632
7.0;15:14:23;3;-75;4.46327754222272
7.0;15:14:24;3;-75;4.27406756962844
7.0;15:14:25;3;-75;4.1494844485271
7.0;15:14:26;3;-76;4.14022270308205
7.0;15:14:27;3;-76;4.13308003034694
7.0;15:14:28;3;-76;4.12738986113828
7.0;15:14:29;3;-76;4.12273973965622
